,name,watchtime,budget,weekend_gross_us_canada,weekend_date
0,The Predator,107.0,88000000.0,24632284.0,2018-9-16
1,The Nice Guys,116.0,50000000.0,11203270.0,2016-5-22
2,Once Upon a Time in... Hollywood,161.0,90000000.0,41082018.0,2019-7-28
3,Get Out,104.0,4500000.0,33377060.0,2017-2-26
4,Midsommar,148.0,9000000.0,6560030.0,2019-7-7
5,Avengers: Endgame,181.0,356000000.0,357115007.0,2019-4-28
6,Blade Runner 2049,164.0,150000000.0,32753122.0,2017-10-8
7,Us,116.0,20000000.0,71117625.0,2019-3-24
8,Joker,122.0,55000000.0,96202337.0,2019-10-6
9,It,135.0,35000000.0,123403419.0,2017-9-10
10,Mother!,121.0,30000000.0,7534673.0,2017-9-17
11,Knives Out,130.0,40000000.0,26769548.0,2019-12-1
12,1917,119.0,95000000.0,576216.0,2019-12-29
13,The Gentlemen,113.0,22000000.0,10651884.0,2020-1-26
14,Deadpool,108.0,58000000.0,132434639.0,2016-2-14
15,Avengers: Infinity War,149.0,321000000.0,257698183.0,2018-4-29
16,After,105.0,14000000.0,6002349.0,2019-4-14
17,Black Panther,134.0,200000000.0,202003951.0,2018-2-18
18,Hereditary,127.0,10000000.0,13575172.0,2018-6-10
19,Thor: Ragnarok,130.0,180000000.0,122744989.0,2017-11-5
20,Bohemian Rhapsody,134.0,52000000.0,51061119.0,2018-11-4
21,Little Women,135.0,40000000.0,16755310.0,2019-12-29
22,Deadpool 2,119.0,110000000.0,125507153.0,2018-5-20
23,Suicide Squad,123.0,175000000.0,133682248.0,2016-8-7
24,Le Mans '66,152.0,97600000.0,31474958.0,2019-11-17
25,Star Wars: Episode IX - The Rise of Skywalker,141.0,275000000.0,177383864.0,2019-12-22
26,Star Trek: Beyond,122.0,185000000.0,59253211.0,2016-7-24
27,Spider-Man: Homecoming,133.0,175000000.0,117027503.0,2017-7-9
28,Star Wars: Rogue One,133.0,200000000.0,155081681.0,2016-12-18
29,Logan,137.0,97000000.0,88411916.0,2017-3-5
30,Spider-Man: Een nieuw universum,117.0,90000000.0,35363376.0,2018-12-16
31,Dunkirk,106.0,100000000.0,50513488.0,2017-7-23
32,Green Book,130.0,23000000.0,320429.0,2018-11-18
33,Alien: Covenant,122.0,97000000.0,36160621.0,2017-5-21
34,Mission: Impossible - Fallout,147.0,178000000.0,61236534.0,2018-7-29
35,Baby Driver,113.0,34000000.0,20553320.0,2017-7-2
36,It Chapter Two,169.0,79000000.0,91062152.0,2019-9-8
37,The Lighthouse,109.0,11000000.0,427797.0,2019-10-20
38,Murder on the Orient Express,114.0,55000000.0,28681472.0,2017-11-12
39,Jojo Rabbit,108.0,14000000.0,349555.0,2019-10-20
40,A Star Is Born,136.0,36000000.0,42908051.0,2018-10-7
41,La La Land,128.0,30000000.0,881104.0,2016-12-11
42,Hacksaw Ridge,139.0,40000000.0,15190758.0,2016-11-6
43,Doctor Strange,115.0,165000000.0,85058311.0,2016-11-6
44,Jurassic World: Fallen Kingdom,128.0,170000000.0,148024610.0,2018-6-24
45,The Greatest Showman,105.0,84000000.0,8805843.0,2017-12-24
46,Guardians of the Galaxy Vol. 2,136.0,200000000.0,146510104.0,2017-5-7
47,Nocturnal Animals,116.0,22500000.0,492648.0,2016-11-20
48,Arrival,116.0,47000000.0,24074047.0,2016-11-13
49,Passengers,116.0,110000000.0,14869736.0,2016-12-25
50,Wind River,107.0,11000000.0,161558.0,2017-8-6
51,Split,117.0,9000000.0,40010975.0,2017-1-22
52,Vaiana,107.0,150000000.0,56631401.0,2016-11-27
53,Jumanji: The Next Level,123.0,125000000.0,59251543.0,2019-12-15
54,Sing,108.0,75000000.0,35258145.0,2016-12-25
55,War Dogs,114.0,40000000.0,14685305.0,2016-8-21
56,The Great Wall,103.0,150000000.0,18469620.0,2017-2-19
57,Captain Marvel,123.0,160000000.0,153433423.0,2019-3-10
58,Hidden Figures,127.0,25000000.0,515499.0,2016-12-25
59,The Mummy,111.0,125000000.0,31688375.0,2017-6-11
60,Spider-Man: Far from Home,129.0,160000000.0,92579212.0,2019-7-7
61,Pirates of the Caribbean: Salazar's Revenge,129.0,230000000.0,62983253.0,2017-5-28
62,Uncut Gems,135.0,19000000.0,537242.0,2019-12-15
63,Zootropolis,108.0,150000000.0,75063401.0,2016-3-6
64,Fantastic Beasts: The Crimes of Grindelwald,134.0,200000000.0,62163104.0,2018-11-18
65,A Quiet Place,90.0,17000000.0,50203562.0,2018-4-8
66,John Wick: Chapter 3 - Parabellum,130.0,75000000.0,56818067.0,2019-5-19
67,Wonder Woman,141.0,149000000.0,103251471.0,2017-6-4
68,Captain America: Civil War,147.0,250000000.0,179139142.0,2016-5-8
69,Shazam!,132.0,100000000.0,53505326.0,2019-4-7
70,Venom,112.0,100000000.0,80255756.0,2018-10-7
71,Hustlers,110.0,20000000.0,33181361.0,2019-9-15
72,Beauty and the Beast,129.0,160000000.0,174750616.0,2017-3-19
73,Fifty Shades Darker,118.0,55000000.0,46607250.0,2017-2-12
74,Jumanji: Welcome to the Jungle,119.0,90000000.0,36169328.0,2017-12-24
75,Wonder,113.0,20000000.0,27547866.0,2017-11-19
76,Ocean's Eight,110.0,70000000.0,41607378.0,2018-6-10
77,Ready or Not,95.0,6000000.0,8015590.0,2019-8-25
78,Suspiria,152.0,20000000.0,184037.0,2018-10-28
79,Ready Player One,140.0,175000000.0,41764050.0,2018-4-1
80,American Made,115.0,50000000.0,16776390.0,2017-10-1
81,Baywatch,116.0,69000000.0,18503871.0,2017-5-28
82,Star Wars: Episode VIII - The Last Jedi,152.0,317000000.0,220009584.0,2017-12-17
83,Doctor Sleep,152.0,45000000.0,14114124.0,2019-11-10
84,Fantastic Beasts and Where to Find Them,132.0,180000000.0,74403387.0,2016-11-20
85,Annihilation,115.0,40000000.0,11071584.0,2018-2-25
86,Rocketman,121.0,40000000.0,25725722.0,2019-6-2
87,Me Before You,106.0,20000000.0,18723269.0,2016-6-5
88,Batman v Superman: Dawn of Justice,152.0,250000000.0,166007347.0,2016-3-27
89,"Three Billboards Outside Ebbing, Missouri",115.0,15000000.0,322168.0,2017-11-12
90,Alita: Battle Angel,122.0,170000000.0,28525613.0,2019-2-17
