,name,watchtime,budget,weekend_gross_us_canada,weekend_date,vader_sentiment,text_blob_polarity,text_blob_subjectivity,popularity,weekend_roi
0,The Predator,107.0,88000000.0,24632284.0,2018-9-16,0.04849508581991108,0.06208528902358824,0.3162916598261858,35577.0,0.27991231818181816
1,The Nice Guys,116.0,50000000.0,11203270.0,2016-5-22,0.12872087130826715,0.09411590366493662,0.37687309518847406,37543.0,0.2240654
2,Once Upon a Time in... Hollywood,161.0,90000000.0,41082018.0,2019-7-28,0.11520800633475999,0.07046377624360113,0.22323286991145344,7859.0,0.4564668666666667
3,Midsommar,148.0,9000000.0,6560030.0,2019-7-7,0.08521340283739995,0.0737271156175476,0.33096054284571785,4627.0,0.7288922222222223
4,Avengers: Endgame,181.0,356000000.0,357115007.0,2019-4-28,0.07087728987273215,0.050050183849705866,0.23411245297871117,218147.0,1.0031320421348315
5,Blade Runner 2049,164.0,150000000.0,32753122.0,2017-10-8,0.0676493858626936,0.08844396599972824,0.3145052280870026,15352.0,0.21835414666666667
6,Joker,122.0,55000000.0,96202337.0,2019-10-6,0.13726233683590597,0.010663936515167217,0.22324482671621923,145110.0,1.7491334
7,Mother!,121.0,30000000.0,7534673.0,2017-9-17,0.0013779188778245332,0.031973697272672866,0.2968766971393654,239630.0,0.25115576666666667
8,Knives Out,130.0,40000000.0,26769548.0,2019-12-1,0.012438208610577713,0.09659127642490266,0.3012592937141837,100.0,0.6692387
9,1917,119.0,95000000.0,576216.0,2019-12-29,0.00042122885670816974,0.05518349341249185,0.24942112733010177,97.0,0.006065431578947369
10,The Gentlemen,113.0,22000000.0,10651884.0,2020-1-26,0.09950600536380139,0.09112453001473991,0.3437756974902449,96.0,0.48417654545454547
11,Deadpool,108.0,58000000.0,132434639.0,2016-2-14,0.07077357859079919,0.061678541858839316,0.19992866814022117,64831.0,2.2833558448275864
12,Avengers: Infinity War,149.0,321000000.0,257698183.0,2018-4-29,-0.3028846192074096,0.06791515496591316,0.25222932681102395,76969.0,0.8027980778816199
13,Black Panther,134.0,200000000.0,202003951.0,2018-2-18,0.04527594353044652,-0.07340779247844702,0.4046407276019061,154750.0,1.010019755
14,Hereditary,127.0,10000000.0,13575172.0,2018-6-10,-0.025664574668306846,0.012048588876752071,0.3481428329107564,2320.0,1.3575172
15,Bohemian Rhapsody,134.0,52000000.0,51061119.0,2018-11-4,0.1318289165427728,0.19277259032468577,0.3233857982054977,101.0,0.9819445961538461
16,Little Women,135.0,40000000.0,16755310.0,2019-12-29,0.13183059717464213,0.05995689381044924,0.3962376219320901,100.0,0.41888275
17,Deadpool 2,119.0,110000000.0,125507153.0,2018-5-20,0.12946022138208424,0.0916779884474353,0.2837171068244581,37089.0,1.1409741181818183
18,Suicide Squad,123.0,175000000.0,133682248.0,2016-8-7,-0.43080585862658155,0.022814312669449187,0.2408429388755342,51997.0,0.76389856
19,Le Mans '66,152.0,97600000.0,31474958.0,2019-11-17,0.12602644230769233,0.07135809210374328,0.297595623900902,13.0,0.3224893237704918
20,Star Wars: Episode IX - The Rise of Skywalker,141.0,275000000.0,177383864.0,2019-12-22,-0.17130949194942768,0.03539847713148658,0.26105455668466254,48.0,0.6450322327272727
21,Star Trek: Beyond,122.0,185000000.0,59253211.0,2016-7-24,0.0486696307622382,0.07787018065663671,0.2761491855101432,10823.0,0.320287627027027
22,Spider-Man: Homecoming,133.0,175000000.0,117027503.0,2017-7-9,0.06356290977128809,0.13049200098030828,0.23364621758570997,23359.0,0.6687285885714286
23,Star Wars: Rogue One,133.0,200000000.0,155081681.0,2016-12-18,-0.27162491093790914,0.06404751192060103,0.2760081029583608,20274.0,0.775408405
24,Logan,137.0,97000000.0,88411916.0,2017-3-5,0.06647803562510096,0.08029472454096308,0.26100393579265396,30366.0,0.9114630515463917
25,Dunkirk,106.0,100000000.0,50513488.0,2017-7-23,-0.04437204576169,0.09564262594883745,0.3331522794793522,28770.0,0.50513488
26,Green Book,130.0,23000000.0,320429.0,2018-11-18,0.11694516183839257,0.0593050570104088,0.35038931988190475,102.0,0.013931695652173913
27,Alien: Covenant,122.0,97000000.0,36160621.0,2017-5-21,0.06146484238481621,-0.02022237629605931,0.4901326363034461,4355.0,0.37278990721649485
28,Mission: Impossible - Fallout,147.0,178000000.0,61236534.0,2018-7-29,0.08616467101632422,-0.2636831272023054,0.686228150299603,3329.0,0.34402547191011235
29,Baby Driver,113.0,34000000.0,20553320.0,2017-7-2,0.1518289640958147,0.14771330298670488,0.29169407076788395,12915.0,0.6045094117647059
30,It Chapter Two,169.0,79000000.0,91062152.0,2019-9-8,0.0019529931414794363,0.05920951787743602,0.3248321233429976,19703.0,1.1526854683544303
31,The Lighthouse,109.0,11000000.0,427797.0,2019-10-20,0.04964084272259226,0.09027500360333601,0.288003592683533,28362.0,0.03889063636363636
32,Murder on the Orient Express,114.0,55000000.0,28681472.0,2017-11-12,-0.376197548985406,0.08989391214169518,0.24966508478099422,1069.0,0.5214813090909091
33,Jojo Rabbit,108.0,14000000.0,349555.0,2019-10-20,0.11303954648351086,0.015355297698267148,0.18145988674337754,2968.0,0.024968214285714285
34,A Star Is Born,136.0,36000000.0,42908051.0,2018-10-7,0.09993708622594134,0.13346115598008607,0.30420490852234805,526.0,1.1918903055555556
35,La La Land,128.0,30000000.0,881104.0,2016-12-11,0.22350204825945327,0.14775575959530063,0.2998999058610684,1590.0,0.029370133333333333
36,Hacksaw Ridge,139.0,40000000.0,15190758.0,2016-11-6,0.08228561523372817,0.05213273694612009,0.2663199516330483,944.0,0.37976895
37,Doctor Strange,115.0,165000000.0,85058311.0,2016-11-6,-0.025935797518734215,0.03071281456226478,0.2667275047720784,17003.0,0.5155049151515152
